Chr,Start,End,Strand,Gene_ID
1,6091603,6094696,-,107852396
1,6107025,6111883,+,124899942
1,6113902,6115617,-,124897171
1,6163821,6165513,+,107865998
1,6187473,6193721,+,107852415
1,6203271,6207154,+,107852426
1,6216395,6224427,+,107866023
1,6224665,6231547,-,107866010
1,6232392,6237168,-,107866031
1,6243173,6247463,+,107866040
1,6265829,6289794,+,107866119
1,6290984,6308215,+,107866167
1,6308307,6341422,+,107866157
1,6353995,6364909,+,107866196
1,6367890,6372896,+,107866223
1,6378818,6381293,+,107866232
1,6390295,6394884,+,107866243
1,6412415,6413926,-,107866255
1,6419605,6422321,-,107866265
1,6431894,6438808,-,107866274
1,6445507,6451349,-,107866283
1,6457342,6472042,-,107866295
1,6524728,6542549,+,107866303
1,6569238,6571240,+,107866321
1,6573404,6578852,-,107866314
1,6602727,6604252,-,107852443
1,6608830,6610713,-,107852451
1,6611677,6618644,-,107866330
1,6621358,6623144,+,107866341
1,6623106,6625896,-,107866355
1,6710999,6713497,-,107867084
1,6714645,6720286,-,107867073
1,6724134,6724840,+,107867066
1,6728593,6731314,-,107867056
1,6732482,6735016,-,107852545
1,6738467,6739216,-,107867048
1,6898000,6900845,-,107867031
1,6919095,6921698,+,107867022
1,6924815,6927476,+,107878701
1,6928393,6931126,+,107867007
1,6933618,6936906,+,107866983
1,6937041,6946686,-,107866998
1,6947123,6953909,-,107866972
1,6954604,6957241,+,107852526
1,6958723,6960720,+,107866962
1,6966766,6968003,-,107852517
1,6970229,6973180,+,107866929
1,6973334,6981118,-,107866940
1,7001852,7006640,+,107866921
1,7006751,7010353,-,107866911
1,7103548,7127470,-,107866895
1,7146058,7149377,+,107866887
1,7189943,7207811,+,107876046
1,7216407,7217134,+,124897182
1,7283510,7285510,-,107866836
1,7289445,7289858,-,124897183
1,7337977,7339842,+,107852491
1,7346743,7364730,-,107866822
1,7375506,7378472,-,107866813
1,7381661,7385943,-,107866804
1,7444443,7445527,+,107852486
1,7449172,7456138,-,107866791
1,7458875,7462628,-,107866711
1,7481874,7486342,-,107866727
1,7511622,7517311,+,107866695
1,7519756,7524662,+,107866679
1,7549630,7552919,+,107866663
1,7597432,7601072,+,107866651
1,7601671,7609228,-,107866640
1,7614685,7619796,-,107866623
1,7621898,7623652,-,107852478
1,7626669,7627247,+,107860037
1,7648641,7649554,-,107852469
1,7672005,7676415,-,107866592
1,7674275,7675863,-,107866583
1,7681713,7682854,+,107866615
1,7683062,7684013,+,124900090
1,7684010,7684894,+,107866604
1,7746422,7751678,+,107866563
1,7751832,7753988,+,107866574
1,7789461,7792747,+,107866552
1,7808164,7813768,+,107866542
1,7838555,7839847,-,124897186
1,7862388,7863770,-,107859621
1,7867932,7885419,-,107866534
1,7905970,7908611,-,124897189
1,7957761,7959160,-,107859530
1,7961021,7964243,-,107859451
1,7979806,7986129,+,107866519
1,7987016,7992124,+,107866509
1,7997191,7998798,-,107852458
1,8021308,8025682,+,107866497
1,8025850,8030288,-,107866482
1,8039285,8047358,-,107866456
1,8047405,8055193,-,107866471
1,8055964,8060451,-,107866443
1,8068922,8078854,-,107866430
1,8083470,8085223,-,107866419
1,8085362,8087002,+,107866409
1,8088698,8090911,-,107866396
1,8144274,8154684,+,107866377
1,8154832,8157382,+,107866386
1,8158398,8160648,-,107859376
1,8176652,8192855,-,107867103
1,8185909,8188724,-,107867114
1,8194774,8197681,-,107867132
1,8199944,8204190,-,107867152
1,8200655,8218299,-,107867157
1,8204340,8207564,-,107867141
1,8213285,8214616,+,107867167
1,8236475,8239442,-,107867180
1,8273025,8278181,-,107867196
1,8286695,8289710,-,107867205
1,8319276,8325361,+,107867216
1,8327814,8329331,+,107867230
1,8350352,8351038,-,107852556
1,8379616,8380314,+,107852565
1,8409731,8410471,+,107852576
1,8492920,8493653,+,107852614
1,8532972,8538011,-,107867269
1,8550571,8555987,+,107867292
1,8559443,8560798,-,107852624
1,8585456,8585812,-,124897194
1,8635352,8640613,+,107852632
1,8649261,8667315,-,107867301
1,8679489,8683178,+,107867308
1,8721037,8725425,-,107867317
1,8763866,8768323,-,107867323
1,8771379,8778627,-,107867333
1,8779440,8786701,-,107867347
1,8803573,8805082,-,107852643
1,8808771,8810773,+,107867375
1,8821764,8826969,+,107867383
1,8845534,8847085,+,107861252
1,8953070,8959128,+,107867410
1,8962683,8964140,-,107852666
1,8996662,8998668,+,107867419
1,9042316,9053570,+,107867428
1,9055791,9056845,+,107861897
1,9066774,9071797,-,107867437
1,9108574,9109718,-,124897202
1,9126212,9126942,-,107852673
1,9179333,9179992,-,107852689
1,9186498,9193537,+,107867441
1,9220104,9220865,+,107867449
1,9225356,9226997,-,107867459
1,9228916,9232726,+,107867468
1,9237054,9237783,-,107852707
1,9238640,9240615,-,107862140
1,9258486,9263561,-,107867479
1,9301882,9303936,+,107867486
1,9315557,9321754,+,107867491
1,9323221,9325561,-,107852714
1,9346446,9351095,-,107867500
1,9392243,9395494,+,107867506
1,9405268,9417163,+,107867519
1,9414691,9417064,-,107867525
1,9420044,9422302,-,107862298
1,9436759,9441839,-,107867553
1,9444680,9458063,+,107867563
1,9458296,9461686,+,107862452
1,9536112,9542859,-,107852850
1,9547891,9555659,-,107867637
1,9594762,9609074,+,107867631
1,9648475,9650675,+,107867624
1,9661887,9666993,+,107852834
1,9707754,9710911,+,107867615
1,9725617,9727418,+,107867608
1,9734857,9735947,+,107852825
1,9885382,9886561,+,107852816
1,9903995,9904761,+,107852799
1,9973966,9975103,+,107852791
1,9996860,9997981,-,107852785
1,10099527,10100663,+,107852776
1,10229863,10232093,+,107852753
1,10241911,10244574,+,107852746
1,10244867,10247357,-,107852730
1,10297407,10300679,-,107867597
1,10314698,10320902,+,107867757
1,10322840,10326697,-,107867746
1,10351154,10352387,-,107867762
1,10366419,10369159,-,107867775
1,10373609,10381739,+,107867781
1,10388294,10411613,+,107867785
1,10412581,10421725,-,107867811
1,10445025,10446782,+,107867817
1,10453536,10458079,+,107867832
1,10458573,10461063,-,107867826
1,10472938,10475069,+,124885582
1,10493477,10497192,+,107852929
1,10573736,10575441,+,107852947
1,10579781,10581087,+,107852956
1,10587842,10616599,-,107867863
1,10630477,10632599,-,107852960
1,10640993,10642257,-,107852971
1,10680984,10704054,-,107867874
1,10705717,10710160,-,107867887
1,10718901,10719590,-,107863400
1,10736209,10740104,+,107867902
1,10741206,10744419,-,107867915
1,10748171,10761596,+,107867928
1,10762694,10763206,-,107863471
1,10850118,10852799,+,107852897
1,10854533,10857648,-,107867734
1,10860140,10864158,+,107867713
1,10864521,10868074,-,107867727
1,10940328,10946169,+,107867699
1,10946911,10953039,-,107867692
1,10981727,10996685,+,107867704
1,11002939,11004038,-,107852866
1,11065290,11066621,-,107852858
1,11080094,11089228,-,107867684
1,11092405,11093418,-,107867676
1,11102735,11120549,+,107867672
1,11164775,11167899,+,107867655
1,11386355,11393348,+,107868380
1,11414221,11425916,+,107868389
1,11436437,11438675,-,107865504
1,11440905,11442608,-,107868408
1,11502444,11502800,-,107865595
1,11506342,11519966,+,107868420
1,11520195,11522667,-,107868431
1,11524646,11527926,-,107853166
1,11667544,11670849,-,107868015
1,11700007,11713241,-,107868020
1,11716005,11727888,-,107868041
1,11734389,11761566,-,107868058
1,11767425,11767946,+,124897210
1,11823022,11826044,+,107868071
1,11831099,11832685,-,107864773
1,11849551,11850108,+,124897211
1,11851750,11853487,-,124885643
1,11882358,11887938,+,107856707
1,11889659,11894338,+,107856706
1,11895606,11902713,-,124885656
1,11910599,11919904,-,107856708
1,11931133,11944152,-,107856709
1,11936696,11938497,+,107856704
1,11992883,11996577,-,107871497
1,11996726,12006906,-,107868152
1,12012184,12019880,+,107868159
1,12020544,12028054,-,107868144
1,12032359,12035407,-,107853103
1,12038212,12047919,-,107868124
1,12102468,12104732,+,107868116
1,12115550,12119793,-,107868110
1,12149302,12168045,+,107868095
1,12170465,12177312,-,107853095
1,12410104,12411247,+,107868079
1,12478230,12479416,+,107853116
1,12547766,12549222,+,107868189
1,12549201,12553232,-,107868172
1,12553221,12556106,-,124885110
1,12556981,12566083,-,107868195
1,12566190,12571040,-,107868222
1,12575134,12580979,+,107868236
1,12584962,12587704,-,107868244
1,12618795,12620628,+,107868255
1,12632891,12637750,+,107868260
1,12637760,12640748,+,107865261
1,12649503,12653244,-,107868275
1,12666555,12669617,+,107868293
1,12669511,12672520,-,107868284
1,12692121,12694740,+,107853126
1,12731024,12731949,-,107868304
1,12743253,12747858,+,107868310
1,12755844,12764783,+,107868318
1,12765976,12773196,+,107868332
1,12774083,12777293,+,107868342
1,12781883,12785940,+,107868359
1,12794944,12795810,-,124897218
1,12807645,12809734,-,107865687
1,12825077,12827689,-,107868449
1,12837293,12839847,-,107853176
1,12845635,12848574,-,107868458
1,12859511,12867801,-,107868465
1,12871328,12873423,-,107868475
1,12873779,12874318,+,124897220
1,12874162,12876016,+,107865769
1,12885625,12888130,+,107868485
1,12897091,12898838,+,107868493
1,12898779,12903290,-,107868506
1,12903419,12940419,-,107868516
1,13027362,13035264,+,107868552
1,13035679,13039136,-,107868535
1,13082514,13085887,+,107853187
1,13092203,13099979,-,107868563
1,13118799,13124440,-,107868570
1,13159483,13160642,-,107853197
1,13178256,13183205,-,107868580
1,13233867,13237548,+,107853205
1,13248432,13255653,+,107868587
1,13466018,13466864,+,124897223
1,13566454,13576731,+,107868623
1,13577564,13584852,+,107866250
1,13587996,13591569,-,107868644
1,13677674,13682789,+,107868652
1,13685309,13691592,-,107868661
1,13693133,13705972,-,107868670
1,13705977,13707716,-,107868675
1,13708285,13709904,-,124897227
1,13736489,13738060,-,124897229
1,13795236,13802895,+,107868693
1,13807663,13808434,-,124886031
1,13944939,13949542,-,107868716
1,13950538,13963399,+,107868726
1,13963547,13967125,+,107868740
1,13968287,13970190,-,107853224
1,13982762,13987594,+,107868747
1,13988198,13995354,-,107868756
1,14021384,14023967,-,107868766
1,14069626,14079360,+,107868800
1,14081631,14082313,-,107868806
1,14102598,14108089,+,107868814
1,14106602,14107734,-,107868853
1,14110860,14123740,-,107868862
1,14236452,14249502,+,107868902
1,14261737,14281597,+,107868908
1,14284683,14293994,-,107868921
1,14336413,14344826,+,107868934
1,14376990,14377391,-,107868954
1,14387524,14388015,+,107867083
1,14393519,14397898,+,107853253
1,14410231,14426891,-,107868968
1,14500108,14503416,-,124886360
1,14538693,14541453,-,107869017
1,14561812,14564614,-,107869027
1,14655567,14657909,+,107869037
1,14671083,14746100,+,107869044
1,14755496,14761234,+,107869066
1,14761714,14770895,-,107869081
1,14807202,14808170,-,107867254
1,14808208,14809423,-,107867336
1,14814274,14817960,+,107869091
1,14819323,14821679,-,107853259
1,14824090,14834493,+,107869098
1,14855373,14860397,+,107869107
1,14864813,14865691,-,124897232
1,14868998,14873783,+,107853268
1,14898191,14900031,+,107853279
1,14946805,14948121,+,107869117
1,14955324,14955919,+,107869128
1,14957733,14964389,-,107869136
1,14965406,14969672,-,107869146
1,15010012,15016225,+,107869157
1,15036854,15045748,+,107869165
1,15107815,15114680,+,107869180
1,15116767,15143091,-,124886383
1,15145636,15153299,+,107869203
1,15153777,15157792,+,107867478
1,15361734,15366230,+,107869212
1,15381699,15389669,-,107869222
1,15493865,15500440,+,107869313
1,15500504,15509425,-,107869328
1,15545521,15545952,+,124897237
1,15857829,15858899,-,107853624
1,15866778,15869563,+,107853633
1,15870031,15890685,-,107870684
1,15921314,15922180,-,124897240
1,15981794,15982981,-,107853643
1,16035002,16036496,+,107853653
1,16072437,16073169,-,107853664
1,16076992,16080903,-,107870694
1,16097943,16107448,+,107870699
1,16107482,16113363,-,124897242
1,16133404,16140240,+,107873390
1,16144244,16149783,-,107873389
1,16170543,16177454,-,107873388
1,16179440,16183291,-,107873387
1,16225857,16253637,+,107873385
1,16279254,16282197,-,107873384
1,16312339,16314747,+,107873383
1,16314725,16325081,-,107873382
1,16357019,16362106,-,107875053
1,16408864,16412728,+,107873381
1,16455937,16457198,-,107875052
1,16464402,16467277,-,107875051
1,16535397,16537456,+,107875048
1,16549703,16552300,+,107873380
1,16634882,16636839,+,107873379
1,16684822,16687169,+,107853339
1,16688913,16690258,-,107853332
1,16699664,16700557,-,107868017
1,16704265,16709217,-,107869413
1,16713087,16715739,-,107853326
1,16728719,16730802,+,107853318
1,16750901,16757311,+,107853307
1,16757915,16761264,-,107853299
1,16846062,16847015,-,124897243
1,16932923,16939926,-,107869375
1,17140745,17141826,+,124897246
1,17144975,17145451,-,107867886
1,17224172,17230019,-,107870678
1,17273349,17273684,-,107871926
1,17366888,17369619,-,107870881
1,17380005,17380715,-,124897251
1,17496521,17503604,+,107870871
1,17503744,17510178,+,107870863
1,17510459,17512060,+,107853757
1,17512983,17514064,-,107873506
1,17518114,17518656,-,107873439
1,17538733,17539656,+,107853746
1,17541894,17548035,-,107853751
1,17565613,17566780,-,107870855
1,17634814,17636428,+,107853738
1,17714207,17714626,-,107873227
1,17730407,17734560,+,107870847
1,17785889,17787459,-,107853729
1,17824310,17829265,-,124897259
1,17898292,17900849,+,107870826
1,17925674,17926573,-,107872922
1,17931590,17932126,+,124897260
1,17971351,17974217,-,107870813
1,17993075,17998498,+,107870808
1,17998649,18001838,+,107853713
1,18063924,18067936,-,107870799
1,18079874,18101260,-,107870790
1,18112010,18113157,-,107853704
1,18144902,18154426,-,107870786
1,18227913,18235420,+,107870783
1,18243528,18244971,+,107870776
1,18337879,18347188,+,107870765
1,18355608,18357377,+,107870761
1,18439915,18442702,+,107853687
1,18444152,18453735,-,107870752
1,18557799,18562635,+,107870743
1,18576956,18579133,-,107872473
1,18599355,18603116,+,107870737
1,18603594,18610743,-,107870729
1,18613823,18621039,-,107870708
1,18746320,18748252,-,107856078
1,18839225,18840410,+,124885346
1,18840916,18843526,-,107856082
1,18843681,18845846,-,107856081
1,18864036,18865910,+,107856079
1,18925845,18926790,+,124886449
1,18942913,18956313,+,107856565
1,18990093,18995842,-,107853839
1,19001825,19006643,+,107853841
1,19128449,19132750,+,107853835
1,19133396,19134202,+,107853834
1,19138254,19140237,-,107853838
1,19169799,19176416,-,107853199
1,19213213,19218920,+,107853200
1,19233499,19235037,-,107853203
1,19300141,19304602,+,107853201
1,19332165,19333106,+,107853198
1,19344438,19346711,-,107853809
1,19350917,19364178,-,107871048
1,19364741,19379222,-,107871044
1,19384947,19389256,-,107871035
1,19413022,19419291,+,107871028
1,19419767,19426982,-,107874138
1,19441901,19451902,-,107871018
1,19457096,19465731,+,107870989
1,19466494,19471848,-,107870982
1,19545586,19552549,+,107870976
1,19555266,19555724,-,107853801
1,19687003,19693602,-,107870967
1,19742813,19746966,+,107874052
1,19790011,19794257,+,107870942
1,19929657,19937863,+,107870932
1,19983991,19985929,+,107873813
1,19987379,19997305,-,107870927
1,20035513,20042776,-,107870908
1,20128583,20129218,+,107873726
1,20136535,20142016,+,107870898
1,20241195,20247404,-,107869421
1,20335560,20336310,-,107868076
1,20352265,20362311,+,107869431
1,20363402,20365411,+,107869443
1,20455621,20468837,-,107869743
1,20502876,20506636,-,107869731
1,20508206,20515448,-,107869723
1,20551882,20554546,+,107853401
1,20564392,20581464,+,107869701
1,20585979,20589187,+,107869690
1,20590870,20596294,+,107869679
1,20610004,20613707,+,107869665
1,20618132,20623010,+,107869653
1,20630870,20632696,-,107868562
1,20634275,20642650,-,107869646
1,20691255,20694017,-,124886473
1,20695473,20699801,+,107853389
1,20731300,20739029,+,107868470
1,20758396,20764525,+,107869454
1,20767071,20771721,-,107869473
1,20792195,20805509,-,107869483
1,20897055,20897633,-,124897270
1,20904072,20913672,-,107869494
1,20961822,20976202,+,107869501
1,21001007,21008791,-,107869539
1,21008873,21016359,+,107869556
1,21016462,21018306,-,107869518
1,21043858,21044361,+,124897273
1,21085627,21095721,+,107869567
1,21103786,21109016,-,107869580
1,21186475,21200138,+,107869596
1,21223794,21234716,-,107869619
1,21389394,21397089,+,107869807
1,21425342,21430712,+,107869777
1,21430833,21435442,-,107869790
1,21476386,21477103,+,107868722
1,21557405,21559573,+,107853408
1,21570763,21575980,-,107869767
1,21595916,21600321,-,107869755
1,21621485,21636649,+,107869850
1,21702116,21705564,+,107869862
1,21720253,21725045,+,107869883
1,21726650,21741532,-,107869893
1,21856764,21858351,-,107869904
1,21877095,21898365,+,107869915
1,21912060,21931487,+,107869928
1,21932179,21937274,+,107853422
1,21949875,21957851,+,107869944
1,21958421,21960538,-,107869960
1,21974119,21976127,+,124886514
1,21998459,22005090,-,107869990
1,22039484,22041446,+,107853439
1,22044443,22045146,-,107853448
1,22091766,22092794,-,124886516
1,22119597,22125001,-,107870017
1,22162799,22166592,+,107870041
1,22167287,22167682,-,107869120
1,22193079,22194478,+,124897276
1,22259312,22264722,+,107870501
1,22266035,22270927,-,107870522
1,22273803,22275704,+,107870534
1,22278857,22280457,-,107870543
