,CHROM,START,END,STRAND,GENE
109,1,589946,592050,-,LOC101268023
110,1,592245,594035,-,Solyc01g005900.2
111,1,594611,598345,+,Solyc01g005910.3
112,1,600407,602629,-,Solyc01g005920.3
113,1,606107,610189,+,Solyc01g005930.3
114,1,610226,610297,-,TRNAG-UCC
115,1,615395,617207,+,Solyc01g005940.4
116,1,615929,616753,+,LOC112940751
117,1,617033,624346,-,Solyc01g005950.4
118,1,625073,632556,+,Solyc01g005960.3
119,1,641957,647495,+,Solyc01g005970.3
120,1,650008,652139,-,Solyc01g005980.4
121,1,653258,655034,-,Solyc01g005985.1
122,1,662886,669549,+,Solyc01g006000.3
123,1,670666,678474,+,Solyc01g006010.3
124,1,679024,681838,-,Solyc01g006020.4
125,1,712525,726498,-,Solyc01g006040.3
126,1,728614,730132,-,Solyc01g006050.2
127,1,737028,737690,+,Solyc01g006055.1
128,1,746507,750063,-,Solyc01g006080.2
129,1,753858,755482,+,Solyc01g006090.3
130,1,756265,764496,-,Solyc01g006100.4
131,1,766152,771919,-,Solyc01g006110.3
132,1,775627,783969,+,Solyc01g006120.4
133,1,785029,789336,+,Solyc01g006130.4
134,1,789418,793472,-,Solyc01g006140.4
135,1,795289,796153,+,LOC104645689
136,1,797129,801771,-,Solyc01g006150.3
137,1,805673,808082,-,Solyc01g006160.3
138,1,808713,811274,-,Solyc01g006170.4
139,1,812331,817050,-,Solyc01g006180.4
140,1,818833,826653,-,Solyc01g006190.3
141,1,831926,832167,+,Solyc01g006200.3
142,1,833190,837515,-,Solyc01g006210.4
143,1,838703,850168,-,Solyc01g006220.3
144,1,852700,859009,+,Solyc01g006230.3
145,1,859885,860919,-,Solyc01g006240.3
146,1,861407,863988,-,Solyc01g006250.2
147,1,866290,869803,+,Solyc01g006260.4
148,1,870036,870108,+,TRNAA-AGC
149,1,873310,874022,-,Solyc01g006270.2
150,1,873969,880587,+,Solyc01g006280.3
151,1,884372,887199,+,Solyc01g006290.4
152,1,888493,891332,-,Solyc01g006300.3
153,1,898745,901980,+,Solyc01g006310.3
154,1,903359,904203,+,Solyc01g006320.4
155,1,906054,906961,+,LOC101251412
156,1,909098,913571,+,Solyc01g006330.4
157,1,914934,918930,+,Solyc01g006340.3
158,1,928354,946320,-,Solyc01g006350.4
159,1,934013,982308,-,Solyc01g006360.4
160,1,983326,1005290,-,Solyc01g006370.3
161,1,1009765,1015492,+,Solyc01g006380.2
162,1,1016897,1018201,-,Solyc01g006390.2
163,1,1021056,1022644,-,Solyc01g006400.4
164,1,1023435,1025686,-,Solyc01g006410.4
165,1,1031364,1031848,+,Solyc01g006420.3
166,1,1033168,1038614,-,Solyc01g006430.3
167,1,1046867,1052558,-,Solyc01g006440.2
168,1,1057696,1062895,+,Solyc01g006450.4
169,1,1064261,1067534,-,Solyc01g006460.3
170,1,1073765,1078015,+,Solyc01g006480.3
171,1,1081248,1086741,-,Solyc01g006490.4
172,1,1088823,1092731,-,Solyc01g006500.4
173,1,1093548,1097842,+,Solyc01g006510.3
174,1,1099116,1102527,+,Solyc01g006520.3
175,1,1103957,1106969,+,Solyc01g006530.1
176,1,1113511,1123402,+,Solyc01g006540.4
177,1,1123914,1126942,-,Solyc01g006550.3
178,1,1128465,1139186,-,Solyc01g006555.1
179,1,1134358,1182672,-,Solyc01g006580.4
180,1,1182454,1185115,-,Solyc01g006585.1
181,1,1197222,1199038,-,Solyc01g006590.3
182,1,1200551,1205154,-,Solyc01g006600.3
183,1,1204752,1207892,-,LOC109120155
184,1,1209409,1212472,-,Solyc01g006610.2
185,1,1216661,1219359,-,Solyc01g006620.3
186,1,1222801,1230256,-,Solyc01g006630.3
187,1,1235322,1238636,+,Solyc01g006640.1
188,1,1238101,1241471,+,LOC112940917
189,1,1241461,1244036,+,LOC112940918
190,1,1245449,1251475,+,Solyc01g006650.2
191,1,1250908,1255214,-,Solyc01g006660.3
192,1,1253234,1254121,+,LOC112940920
193,1,1257852,1258839,-,Solyc01g006670.2
194,1,1259947,1264179,-,Solyc01g006680.4
195,1,1266772,1270401,-,Solyc01g006690.4
196,1,1271215,1272004,-,LOC109119843
197,1,1277032,1284967,-,Solyc01g006700.3
198,1,1285564,1300596,+,Solyc01g006710.4
199,1,1301250,1309863,-,Solyc01g006720.4
200,1,1327994,1332706,-,Solyc01g006730.4
201,1,1334620,1335331,+,Solyc01g006740.4
202,1,1335987,1340451,-,LOC778279
203,1,1343767,1344426,-,Solyc01g006750.2
204,1,1346043,1346114,-,TRNAC-GCA
205,1,1347784,1349532,-,Solyc01g006760.3
206,1,1350932,1354811,+,Solyc01g006770.2
207,1,1359022,1359644,-,Solyc01g006780.4
208,1,1359462,1360946,+,Solyc01g006790.3
209,1,1364478,1371286,+,Solyc01g006800.4
210,1,1372880,1378521,+,Solyc01g006810.4
211,1,1390162,1394554,+,Solyc01g006820.2
212,1,1399103,1403880,-,Solyc01g006830.3
213,1,1410028,1414108,-,Solyc01g006840.3
214,1,1413818,1415210,-,Solyc01g006845.1
215,1,1416962,1420346,+,Solyc01g006850.1
216,1,1420016,1426987,-,Solyc01g006860.3
217,1,1430376,1438509,-,Solyc01g006870.4
218,1,1441777,1458425,+,Solyc01g006880.4
219,1,1465023,1470392,+,Solyc01g006890.3
220,1,1472108,1477558,-,Solyc01g006900.3
221,1,1483494,1484802,-,Solyc01g006910.4
222,1,1488741,1496725,+,Solyc01g006920.4
223,1,1505468,1510907,+,Solyc01g006930.3
224,1,1511530,1514429,+,Solyc01g006940.4
225,1,1515090,1516998,-,Solyc01g006950.3
226,1,1519524,1538856,-,Solyc01g006960.3
227,1,1540788,1550349,+,Solyc01g006970.4
228,1,1551046,1554899,+,Solyc01g006980.4
229,1,1555907,1557773,-,Solyc01g006990.4
230,1,1558716,1559680,-,LOC112940753
231,1,1563761,1565222,+,LOC112940696
232,1,1567389,1568807,+,Solyc01g007000.4
233,1,1570848,1572493,+,Solyc01g007010.2
234,1,1576511,1578007,-,Solyc01g007020.4
235,1,1581924,1583450,-,Solyc01g007030.3
236,1,1583140,1583820,-,Solyc01g007040.4
237,1,1589726,1591140,-,Solyc01g007050.3
238,1,1594543,1599837,+,Solyc01g007060.3
239,1,1601525,1606820,-,Solyc01g007070.3
240,1,1625944,1633071,-,Solyc01g007080.3
241,1,1647830,1652368,+,Solyc01g007090.1
242,1,1652891,1657433,-,Solyc01g007100.3
243,1,1658879,1662227,+,Solyc01g007110.3
244,1,1662376,1667489,-,Solyc01g007120.3
245,1,1675752,1679445,+,Solyc01g007130.3
246,1,1682739,1702030,+,Solyc01g007140.3
247,1,1710496,1720385,-,Solyc01g007150.3
248,1,1727061,1732271,+,Solyc01g007160.4
249,1,1732619,1735971,-,Solyc01g007170.4
250,1,1740782,1744729,-,Solyc01g007180.3
251,1,1754808,1754924,-,LOC112940775
252,1,1768279,1770230,+,Solyc01g007190.3
253,1,1773204,1777022,+,Solyc01g007200.2
254,1,1775956,1776699,-,LOC112940935
255,1,1778212,1780190,+,Solyc01g007210.3
256,1,1799605,1800568,+,Solyc01g007220.4
257,1,1804220,1805296,-,Solyc01g007230.4
258,1,1806988,1807672,+,Solyc01g007240.3
259,1,1807892,1812572,-,Solyc01g007250.4
260,1,1819133,1823251,-,Solyc01g007260.3
261,1,1830813,1835927,+,Solyc01g007263.1
262,1,1837982,1840190,+,Solyc01g007267.1
263,1,1839520,1843784,-,Solyc01g007740.4
264,1,1846842,1849094,+,Solyc01g007750.3
265,1,1851677,1857124,+,Solyc01g007760.3
266,1,1862624,1863374,+,Solyc01g007770.2
267,1,1863287,1868012,-,Solyc01g007780.4
268,1,1874897,1884464,+,Solyc01g007790.4
269,1,1890790,1891793,+,Solyc01g007800.3
270,1,1906383,1907770,-,Solyc01g007810.1
271,1,1928583,1937106,-,Solyc01g007830.2
272,1,1942260,1943336,-,Solyc01g007840.3
273,1,1946624,1952559,+,Solyc01g007850.2
274,1,1953805,1957461,-,Solyc01g007860.3
275,1,1967613,1967993,-,Solyc01g007870.3
276,1,1977047,1990821,-,Solyc01g007880.4
277,1,1994837,1999280,-,Solyc01g007890.3
278,1,2015775,2023304,-,Solyc01g150101.1
279,1,2031270,2038341,-,Solyc01g007900.4
280,1,2040592,2048009,+,Solyc01g007910.3
281,1,2049632,2052801,+,Solyc01g007920.2
282,1,2053455,2056090,-,Solyc01g007930.4
283,1,2058361,2064562,-,Solyc01g007940.4
284,1,2070322,2072694,-,Solyc01g007950.4
285,1,2073559,2078611,-,LOC101251117
286,1,2084121,2088383,+,Solyc01g007960.3
287,1,2088771,2092866,+,Solyc01g007970.2
288,1,2096541,2099337,+,Solyc01g007980.4
289,1,2104273,2109215,+,Solyc01g007990.4
290,1,2110582,2114666,+,Solyc01g008000.3
291,1,2114657,2115169,-,Solyc01g150102.1
292,1,2115764,2120530,+,Solyc01g008010.3
293,1,2120685,2124838,-,Solyc01g008020.4
294,1,2129712,2131724,+,Solyc01g008040.1
295,1,2132092,2133694,-,LOC104646335
296,1,2134371,2137123,+,Solyc01g008050.4
297,1,2138347,2146639,+,Solyc01g008060.3
298,1,2147609,2154606,+,Solyc01g008070.3
299,1,2154085,2156351,-,Solyc01g008080.3
300,1,2155381,2161715,-,Solyc01g008090.4
301,1,2164649,2168947,+,Solyc01g008100.3
302,1,2174569,2178590,+,Solyc01g008110.4
303,1,2180288,2198652,-,Solyc01g008120.4
304,1,2208993,2218471,+,Solyc01g008130.4
305,1,2222243,2225924,-,Solyc01g008140.4
306,1,2236810,2236958,-,Solyc01g008150.1
307,1,2239139,2240592,-,Solyc01g008160.4
308,1,2243080,2247508,+,Solyc01g008170.3
309,1,2262294,2268891,-,Solyc01g008180.3
310,1,2275261,2277019,+,Solyc01g008190.4
311,1,2277285,2284204,+,Solyc01g008200.3
312,1,2284713,2285462,-,LOC109120249
313,1,2284776,2289506,-,Solyc01g008220.3
314,1,2293942,2295209,-,Solyc01g008230.4
315,1,2303859,2308072,-,Solyc01g008240.4
316,1,2309676,2312366,-,Solyc01g008250.3
317,1,2315167,2318951,+,Solyc01g008260.4
318,1,2320511,2324564,+,Solyc01g008270.3
319,1,2326100,2329930,+,Solyc01g008280.4
320,1,2331200,2339438,+,Solyc01g008290.3
321,1,2339240,2341811,-,Solyc01g008300.2
322,1,2343730,2357308,-,Solyc01g008310.4
323,1,2362004,2381537,+,Solyc01g008320.3
324,1,2383104,2396325,+,Solyc01g008330.4
325,1,2397655,2405266,+,Solyc01g008340.3
326,1,2409117,2411012,+,Solyc01g008360.3
327,1,2412096,2417912,-,Solyc01g008370.3
328,1,2419119,2433177,+,Solyc01g008400.3
329,1,2424117,2426643,-,Solyc01g008390.3
330,1,2429245,2431669,-,Solyc01g008410.3
331,1,2438541,2446363,+,Solyc01g008420.3
332,1,2454431,2455977,+,Solyc01g008425.1
333,1,2457096,2463774,+,Solyc01g008440.3
334,1,2471910,2472742,-,Solyc01g008450.1
335,1,2475995,2481617,-,Solyc01g008460.3
336,1,2482856,2489038,+,Solyc01g008470.3
337,1,2489932,2501706,-,Solyc01g150103.1
338,1,2491223,2491573,+,Solyc01g150104.1
339,1,2491593,2492281,+,Solyc01g008473.1
340,1,2492301,2493169,+,Solyc01g150105.1
341,1,2493370,2493872,+,Solyc01g008475.1
342,1,2494811,2495297,+,Solyc01g150106.1
343,1,2497498,2497838,+,Solyc01g008477.1
344,1,2498038,2498764,+,Solyc01g150107.1
345,1,2499291,2499733,+,Solyc01g008479.1
346,1,2502542,2509797,+,Solyc01g008480.4
347,1,2512729,2517908,-,Solyc01g008490.4
348,1,2546218,2548800,+,Solyc01g008500.4
349,1,2552949,2553296,+,Solyc01g008510.3
350,1,2555072,2565056,+,Solyc01g008520.3
351,1,2565614,2571498,-,Solyc01g008530.3
352,1,2573148,2578933,-,Solyc01g008540.4
353,1,2580993,2584559,-,Solyc01g008550.4
354,1,2590747,2598574,-,Solyc01g008560.3
355,1,2605329,2606529,-,Solyc01g008570.1
356,1,2607405,2611116,-,Solyc01g008580.1
357,1,2611863,2612401,+,Solyc01g008590.1
358,1,2619201,2623392,+,Solyc01g008600.4
359,1,2628984,2630751,-,Solyc01g008610.4
360,1,2635043,2636759,+,Solyc01g008620.4
361,1,2641458,2643548,+,Solyc01g008640.4
362,1,2646347,2648788,-,Solyc01g008650.3
363,1,2653142,2657196,-,Solyc01g008660.4
364,1,2664554,2667678,-,Solyc01g008670.4
365,1,2670745,2674222,-,Solyc01g008680.4
366,1,2674445,2678983,-,Solyc01g008690.3
367,1,2680823,2685818,-,Solyc01g008700.4
368,1,2689359,2692412,+,Solyc01g008710.5.1
369,1,2694300,2697708,+,Solyc01g008720.2
370,1,2699522,2709065,-,Solyc01g008730.3
371,1,2710462,2716756,+,Solyc01g008740.2
372,1,2724156,2728353,+,Solyc01g008760.4
373,1,2731554,2750005,+,Solyc01g008770.3
374,1,2752256,2757481,+,Solyc01g008780.3
375,1,2760694,2765460,+,Solyc01g008790.4
376,1,2765291,2771009,-,Solyc01g008800.3
377,1,2771226,2774644,-,Solyc01g008810.3
378,1,2778224,2784208,+,Solyc01g008820.3
379,1,2788442,2797100,+,Solyc01g008830.2
380,1,2798585,2806457,+,Solyc01g008840.3
381,1,2812087,2818201,+,Solyc01g008850.3
382,1,2820432,2826546,-,Solyc01g008860.1
383,1,2826483,2828721,-,Solyc01g008870.1
384,1,2834329,2835633,-,Solyc01g008880.3
385,1,2844229,2852080,-,Solyc01g008890.4
386,1,2855220,2861001,+,Solyc01g008900.4
387,1,2869293,2871920,+,Solyc01g008910.2
388,1,2875842,2881892,+,Solyc01g008920.4
389,1,2882804,2890346,-,Solyc01g008930.4
390,1,2892923,2893297,+,Solyc01g008940.2
391,1,2894395,2897502,-,Solyc01g008950.4
392,1,2910655,2919267,+,Solyc01g008960.3
393,1,2920099,2924320,-,Solyc01g008970.4
394,1,2927488,2933560,+,Solyc01g008980.3
395,1,2935350,2941972,+,Solyc01g008990.4
396,1,2944462,2947685,+,Solyc01g009000.3
397,1,2948487,2954739,+,Solyc01g009010.3
398,1,2956274,2958578,-,Solyc01g009020.4
399,1,2960116,2973305,+,Solyc01g009030.4
400,1,2974504,2974576,+,TRNAA-UGC
401,1,2976002,2979063,+,Solyc01g009040.4
402,1,2979874,2998631,-,Solyc01g009050.3
403,1,3001605,3008875,+,Solyc01g009060.3
404,1,3009246,3016267,-,Solyc01g009070.3
405,1,3024817,3027785,+,Solyc01g009080.4
406,1,3029002,3042433,-,Solyc01g009090.3
407,1,3046114,3049266,+,Solyc01g009100.4
408,1,3057108,3077524,-,Solyc01g009120.3
409,1,3099419,3100181,+,Solyc01g009140.1
410,1,3100714,3105255,+,Solyc01g009145.1
411,1,3106210,3109693,-,Solyc01g009160.2
412,1,3123130,3126230,+,Solyc01g009165.1
413,1,3137396,3142165,-,Solyc01g009170.4
414,1,3162906,3168738,+,Solyc01g009180.4
415,1,3170922,3173698,+,Solyc01g009190.3
416,1,3174118,3175384,-,Solyc01g009200.4
417,1,3177559,3178039,+,Solyc01g009210.2
418,1,3179898,3181616,-,Solyc01g009220.3
419,1,3187054,3195944,+,Solyc01g009230.4
420,1,3202990,3207296,+,Solyc01g009240.4
421,1,3208038,3208109,+,TRNAK-UUU
422,1,3208333,3211032,-,Solyc01g009245.1
423,1,3212554,3213024,-,Solyc01g009250.3
424,1,3214380,3214459,-,TRNAL-UAG
425,1,3222497,3223912,+,Solyc01g009260.1
426,1,3225505,3227278,-,Solyc01g009270.1
427,1,3236898,3253946,-,Solyc01g009280.4
428,1,3257634,3269723,-,Solyc01g009290.4
429,1,3271123,3278999,-,Solyc01g009300.3
430,1,3283529,3293180,-,LOC104644368
431,1,3349051,3349517,-,Solyc01g009305.1
432,1,3396715,3399736,-,LOC104644356
433,1,3402452,3409913,-,LOC104644363
434,1,3416460,3416533,+,TRNAN-GUU
435,1,3419728,3429015,+,Solyc01g009310.3
436,1,3434244,3436114,-,Solyc01g009320.2
437,1,3448870,3450712,-,Solyc01g009330.1
438,1,3471523,3475703,+,Solyc01g009340.4
439,1,3475799,3476623,-,Solyc01g009350.2
440,1,3481328,3482349,-,Solyc01g009360.1
441,1,3491596,3498235,-,Solyc01g009370.2
442,1,3506163,3525590,+,Solyc01g009380.3
443,1,3528704,3534988,-,Solyc01g009390.4
444,1,3540580,3543690,+,Solyc01g009400.3
445,1,3545915,3549625,+,Solyc01g009410.3
446,1,3555677,3560512,+,Solyc01g009420.4
447,1,3563213,3563295,-,TRNAL-UAA
448,1,3568470,3570154,-,Solyc01g009430.3
449,1,3591319,3591399,+,TRNAL-AAG
450,1,3596537,3597484,-,Solyc01g009440.3
451,1,3610517,3615802,-,Solyc01g009443.1
452,1,3623799,3626162,-,Solyc01g009447.1
453,1,3627911,3633700,-,Solyc01g009470.2
454,1,3636682,3640270,-,Solyc01g009480.4
455,1,3658655,3659089,-,Solyc01g009490.1
456,1,3673557,3677638,+,Solyc01g009500.4
457,1,3681684,3683673,+,Solyc01g009505.1
458,1,3707028,3712625,+,Solyc01g009510.2
459,1,3714726,3718069,+,Solyc01g009520.4
460,1,3717385,3718641,+,Solyc01g009530.1
461,1,3718392,3718678,+,Solyc01g009540.1
462,1,3745411,3745673,+,Solyc01g009550.1
463,1,3747217,3748476,-,Solyc01g009560.2
464,1,3755213,3756585,+,Solyc01g009565.1
465,1,3762564,3764582,+,Solyc01g009580.2
466,1,3765086,3766292,-,Solyc01g009590.3
467,1,3767161,3771760,-,Solyc01g009600.4
468,1,3776293,3780704,-,Solyc01g009610.3
469,1,3786763,3796605,+,Solyc01g009620.3
470,1,3799048,3807986,+,Solyc01g009630.3
471,1,3813312,3816686,-,Solyc01g009640.3
472,1,3821454,3824615,+,Solyc01g009650.1
473,1,3831017,3833753,-,Solyc01g009660.3
474,1,3837830,3837901,-,TRNAC-GCA
475,1,3841550,3847908,-,Solyc01g009670.4
476,1,3906408,3909276,+,Solyc01g009690.3
477,1,3912773,3913472,+,LOC112940954
478,1,3913413,3915824,+,Solyc01g009700.3
479,1,3915747,3915979,+,Solyc01g009705.1
480,1,3920079,3920419,+,Solyc01g009710.1
481,1,3924636,3935114,-,Solyc01g009720.2
482,1,3966203,3966287,-,Solyc01g009730.3
483,1,3968223,3970623,-,Solyc01g009735.1
484,1,4010951,4012239,-,LOC109119850
485,1,4012343,4014778,-,LOC109119851
486,1,4032694,4035209,-,Solyc01g009740.3
487,1,4056310,4060683,-,Solyc01g009750.3
488,1,4072617,4075009,+,Solyc01g009760.3
489,1,4089846,4091533,-,Solyc01g009770.3
490,1,4139241,4142660,+,Solyc01g009780.3
491,1,4175917,4176702,-,Solyc01g009790.1
492,1,4185772,4189133,+,Solyc01g009795.1
493,1,4189774,4193036,+,Solyc01g009810.3
494,1,4193989,4200770,-,Solyc01g009820.4
495,1,4227894,4228928,+,LOC109119318
496,1,4259085,4263418,+,Solyc01g009830.3
497,1,4268168,4269732,-,Solyc01g009840.3
498,1,4303168,4309642,+,Solyc01g009850.4
499,1,4316320,4318146,-,Solyc01g009860.3
500,1,4338279,4342498,-,Solyc01g009870.3
501,1,4344340,4344411,-,TRNAQ-UUG
502,1,4346939,4349131,+,Solyc01g009880.2
503,1,4358420,4359081,+,Solyc01g009890.1
504,1,4386076,4386796,-,LOC101268713
505,1,4395510,4396230,+,Solyc01g009900.3
506,1,4413095,4413795,+,Solyc01g009910.1
507,1,4423112,4427242,-,Solyc01g009920.3
508,1,4455199,4457497,-,Solyc01g009930.3
509,1,4472402,4481987,+,Solyc01g009940.1
510,1,4487368,4488862,-,Solyc01g009960.4
511,1,4508799,4513138,-,Solyc01g009970.3
512,1,4513205,4513278,+,TRNAV-AAC
513,1,4517893,4518729,+,Solyc01g009975.1
514,1,4520778,4521314,+,Solyc01g009980.1
515,1,4530461,4534410,+,Solyc01g009990.3
516,1,4548289,4551894,-,Solyc01g010000.3
517,1,4587932,4590253,-,LOC104648910
518,1,4593525,4594506,-,Solyc01g010020.3
519,1,4595455,4607397,-,Solyc01g010030.3
520,1,4619948,4623488,+,Solyc01g010050.3
521,1,4623511,4624102,-,Solyc01g010060.2
522,1,4630125,4669199,-,LOC104648791
523,1,4667435,4670693,-,Solyc01g010063.1
524,1,4687080,4688646,+,Solyc01g010065.1
525,1,4696456,4698834,-,Solyc01g010067.1
526,1,4736575,4747059,+,Solyc01g010080.3
527,1,4772306,4773212,+,Solyc01g150108.1
528,1,4774991,4776179,+,Solyc01g150109.1
529,1,4776407,4778641,-,Solyc01g150110.1
530,1,4806187,4810683,+,Solyc01g010130.4
531,1,4818306,4820094,-,Solyc01g010140.1
532,1,4853724,4853796,-,TRNAV-UAC
533,1,4875149,4878935,+,Solyc01g010150.3
534,1,4884374,4884906,-,Solyc01g010160.3
535,1,4890222,4890794,-,Solyc01g010170.2
536,1,4891741,4903862,-,Solyc01g010175.1
537,1,4911733,4912810,+,Solyc01g010180.3
538,1,4924353,4925251,+,Solyc01g010185.1
539,1,4927510,4928066,+,Solyc01g010210.1
540,1,4933242,4934228,+,Solyc01g010215.1
541,1,4939221,4940196,+,Solyc01g010220.3
542,1,4944005,4944667,-,Solyc01g010230.2
543,1,4965205,4967951,+,Solyc01g010240.3
544,1,4970031,4973533,-,Solyc01g010250.4
545,1,4998154,5000516,+,Solyc01g010260.3
546,1,5000370,5003386,-,Solyc01g010270.3
547,1,5005307,5006132,+,LOC112940755
548,1,5015747,5021414,-,Solyc01g010280.3
549,1,5024755,5029209,-,Solyc01g010290.4
550,1,5074260,5078211,-,Solyc01g010310.4
551,1,5093694,5097933,-,Solyc01g010350.4
552,1,5111159,5114531,-,Solyc01g010360.3
553,1,5128200,5129292,-,Solyc01g010365.1
554,1,5134966,5140755,-,Solyc01g010370.3
555,1,5166697,5167178,-,LOC109119853
556,1,5189407,5193717,-,LOC112941045
557,1,5199171,5206260,+,Solyc01g010390.3
558,1,5224285,5224357,-,TRNAE-CUC
559,1,5246146,5247470,-,Solyc01g010400.1
560,1,5250488,5251736,+,Solyc01g010405.1
561,1,5255708,5258579,+,Solyc01g010410.3
562,1,5268335,5269303,-,Solyc01g010415.1
563,1,5278644,5279749,+,Solyc01g010420.3
564,1,5283640,5287185,+,Solyc01g010430.4
565,1,5287284,5292921,-,Solyc01g010440.4
566,1,5301505,5309729,+,Solyc01g010460.4
567,1,5308142,5311080,+,Solyc01g010470.2
568,1,5310306,5314314,-,Solyc01g010480.3
569,1,5318119,5320428,-,Solyc01g010490.4
570,1,5352507,5356136,+,Solyc01g150111.1
571,1,5365607,5366945,+,Solyc01g150112.1
572,1,5390644,5395777,-,Solyc01g010500.3
573,1,5446035,5453225,+,LOC109120425
574,1,5452405,5455519,-,Solyc01g010510.4
575,1,5481830,5489639,+,Solyc01g010520.3
576,1,5492954,5494512,-,Solyc01g010530.1
577,1,5497730,5500583,+,Solyc01g010540.3
578,1,5502249,5502933,-,Solyc01g010550.1
